Area of Focus,Color Name,PMS,HEX,RGB
Peacebuilding & Conflict Prevention,Azure,PANTONE 2175 C,#0067C8,"0, 103, 200"
Disease Prevention & Treatment,Cardinal,PANTONE 485 C,#E02927,"224, 41, 39"
"Water, Sanitation & Hygiene",Turquoise,PANTONE 7466 C,#00ADBB,"0, 173, 187"
Maternal & Child Health,Orange,PANTONE 2018 C,#FF7600,"255, 118, 0"
Basic Education & Literacy,Sky Blue,PANTONE 2202 C,#00A2E0,"0, 162, 224"
Community Economic Development,Grass Green,PANTONE 355 C,#009739,"1, 151, 57"
Supporting the Environment,Violet,PANTONE 2070 C,#901F93,"144, 31, 147"
